"uuid","xml src","md src","marketing loc","docs loc"
"4de03e03-cbbd-4e8f-a1b9-19ba8b2e6951","target-standard-premium-master/src/mvt/r_troubleshooting.xml","help/c-activities/c-multivariate-testing/t-create-multivariate-test/troubleshooting.md","https://marketing.adobe.com/resources/help/en_US/target/mvt/r_troubleshooting.html","https://docs.adobe.com/content/help/en/target/using/activities/multivariate-test/create-mvt/troubleshooting.html"
"b8d6f9f4-a995-4f6a-9eea-f75ef36b7f31","target-standard-premium-master/src/ov/c_prepare-to-implement-target.xml","help/c-implementing-target/c-considerations-before-you-implement-target/prepare-to-implement-target.md","https://marketing.adobe.com/resources/help/en_US/target/ov/c_prepare-to-implement-target.html","https://docs.adobe.com/content/help/en/target/using/implement-target/before-implement/prepare-to-implement-target.html"
"c42d7683-2eec-4443-9545-5695a122c9de","target-standard-premium-master/src/target/c_conversion_rate.xml","help/c-reports/conversion-rate.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_conversion_rate.html","https://docs.adobe.com/content/help/en/target/using/reports/conversion-rate.html"
"058f0ef5-037a-4daf-8a1e-a9c7ecc7f0bd","target-standard-premium-master/src/ov/c_pass_parameters_to_global_mbox.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/c-understanding-global-mbox/pass-parameters-to-global-mbox.md","https://marketing.adobe.com/resources/help/en_US/target/ov/c_pass_parameters_to_global_mbox.html","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/mbox-implement/global-mbox/pass-parameters-to-global-mbox.html"
"9ac151e1-45a9-4d46-b23b-e7c9ae518253","target-standard-premium-master/src/target/c_downloading-data-in-csv-file.xml","help/c-reports/downloading-data-in-csv-file.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_downloading-data-in-csv-file.html","https://docs.adobe.com/content/help/en/target/using/reports/downloading-data-in-csv-file.html"
"725cb4f4-6530-403a-a9c8-305219765615","target-standard-premium-master/src/target/c_traffic_sources.xml","help/c-target/c-audiences/c-target-rules/traffic-sources.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_traffic_sources.html","https://docs.adobe.com/content/help/en/target/using/audiences/create-audiences/categories-audiences/traffic-sources.html"
"3fb0ea31-e91d-4359-a8cc-64c547e6314e","target-standard-premium-master/src/target/c_implement-cname-support-in-target.xml","help/c-implementing-target/c-considerations-before-you-implement-target/implement-cname-support-in-target.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_implement-cname-support-in-target.html","https://docs.adobe.com/content/help/en/target/using/implement-target/before-implement/implement-cname-support-in-target.html"
"01c0072d-f77d-4f14-935b-8633f220db7b","target-standard-premium-master/src/target/c_how-target-works.xml","help/c-intro/how-target-works.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_how-target-works.html","https://docs.adobe.com/content/help/en/target/using/introduction/how-target-works.html"
"3d6422ac-7cff-4e0d-9cea-64a64cd1a098","target-standard-premium-master/src/target/c_target_mobile_app.xml","help/c-target-mobile-app/target-mobile-app.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_target_mobile_app.html","https://docs.adobe.com/content/help/en/target/using/implement-target/mobile-apps/target-mobile-app.html"
"481b4a14-f10f-47cd-988d-9e6b8c4d5c00","target-standard-premium-master/src/ov2/c_profile-api-settings.xml","help/c-implementing-target/c-considerations-before-you-implement-target/c-methods-to-get-data-into-target/profile-api-settings.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/before-implement/methods/profile-api-settings.html"
