"Original XML Dita File","UUID"
"target-standard-premium-master/src/target/t_testing-email-image-adbox.xml","15e6a8b6-26dc-4191-b0e8-92e0d45665c0"
"target-standard-premium-master/src/ov2/c_working-with-redirectors.xml","b6aec8be-210b-4b77-9569-51b001b34f8d"
"target-standard-premium-master/src/a4t/c_integrating_target_with_mac.xml","587d7930-0fb4-47f5-88ec-7fab2ec1586f"
"target-standard-premium-master/src/a4t/a4t.xml","ce953a28-ff83-4bfc-a5cb-105f57dabbac"
"target-standard-premium-master/src/a4t/c_before_implement.xml","5b953bc7-ba2c-46bf-b206-ecc18f437f4c"
"target-standard-premium-master/src/a4t/c_a4timplementation.xml","50fd5a30-4a49-432e-a5e4-7fa9fe771d37"
"target-standard-premium-master/src/a4t/c_account_reqs.xml","91cc6e4f-ac0f-4389-b88a-4d81f394fb42"
"target-standard-premium-master/src/a4t/t_campaign_creation.xml","8fb010f3-a8ba-4771-8851-f9900f11c2c1"
"target-standard-premium-master/src/a4t/t_analytics_tracking_server.xml","24cc08fb-028c-48be-9027-48156f297616"
"target-standard-premium-master/src/a4t/c_reporting.xml","dc14d790-daab-4791-9537-49af89e60b6d"
"target-standard-premium-master/src/a4t/c_a4t_troubleshooting.xml","d1e40314-9010-400b-bfa7-565229f3e41c"
"target-standard-premium-master/src/a4t/minimizing-inflated-visit-and-visitor-counts-a4t.xml","916dc151-0097-49fe-b192-99714b4bd185"
"target-standard-premium-master/src/a4t/r_a4t-faq.xml","f45d9d4e-4276-4953-8a95-18c3c285dc1b"
"target-standard-premium-master/src/a4t/c_a4t-faq-initial-provisioning.xml","81064da4-0b0e-4638-ace7-c427d85208d7"
"target-standard-premium-master/src/a4t/c_a4t-faq-activity-setup.xml","32eed2e5-7a1d-4717-9e58-df3cbf5e986d"
"target-standard-premium-master/src/a4t/c_a4t-faq-viewing-reports.xml","9218b522-262a-451b-a614-88a86f8d0389"
"target-standard-premium-master/src/a4t/c_a4t-faq-redirect-offers.xml","395dd2f9-7193-48de-848a-0dfb457884b9"
"target-standard-premium-master/src/a4t/c_a4t-faq-lift-and-confidence.xml","dcdc0cdd-1192-4f60-b75c-9a286e0e1e6f"
"target-standard-premium-master/src/a4t/c_a4t_faq_metric-definition.xml","4b342eb7-acc1-426d-95a9-2f8438c101b2"
"target-standard-premium-master/src/a4t/c_a4t-faq-inflated-visit-and-visitor-counts.xml","de3aba9c-6e2c-491e-b26e-3a4c0b9ef852"
"target-standard-premium-master/src/a4t/c_a4t-faq-classifications.xml","0c607201-2891-47e7-934d-70886febd1f6"
"target-standard-premium-master/src/a4t/c_a4t-faq-old-integration.xml","140455e2-f5fd-4a40-bd12-42dab411caf5"
"target-standard-premium-master/src/a4t/c_understanding-expected-data-variances.xml","ff99905b-a286-4573-8eb9-d78a46eb3a50"
"target-standard-premium-master/src/a4t/c_mmp.xml","6ea86aa7-1028-4358-8158-cf51edd7917a"
"target-standard-premium-master/src/a4t/c_campaign_and_target.xml","5433a502-a293-4f07-bf83-207de7ade165"
"target-standard-premium-master/src/target/c_experience-cloud-device-co-op.xml","7f26a826-1c57-49b9-a6ae-5aa382db3010"
"target-standard-premium-master/src/target/c_activities.xml","ad9d09da-5019-4e67-a4b6-b6d545b7ce6e"
"target-standard-premium-master/src/target/target-activities-guide.xml","76d6594b-6379-43aa-9efd-dbc5e8fb2b75"
"target-standard-premium-master/src/target/t_test_ab.xml","ff82f199-6417-40f0-9569-b676a0195093"
"target-standard-premium-master/src/target/c_sample_size_determination.xml","9d2b0ce3-af98-43c9-9341-ed71d09b4ce5"
"target-standard-premium-master/src/target/t_test_create_ab.xml","67e59c91-01d4-4d92-b01b-218a3450843c"
"target-standard-premium-master/src/target/c_ab_activity_url.xml","37613d58-8b52-4022-a2f4-ce6a219b2513"
"target-standard-premium-master/src/target/t_ab_add_experience.xml","17784507-ab4c-4463-acb9-1a6e0e64bc40"
"target-standard-premium-master/src/target/c_ab_audience.xml","e757d7b6-adbe-4930-b218-ff0e18d8a350"
"target-standard-premium-master/src/target/r_ab_goals_and_settings.xml","ec150f81-de27-4d86-a12e-f1840ad0e962"
"target-standard-premium-master/src/target/t_create_a4t.xml","79ddc2f3-8e08-48d6-a5cf-cca07e6ca61d"
"target-standard-premium-master/src/target/t_ab_set_metrics.xml","2bdf4ea4-7c85-46e8-a2cc-1c0acc9bc57f"
"target-standard-premium-master/src/target/t_target-experience-to-multiple-audiences.xml","bc932bbe-4bcd-4d13-904a-8bc830dc4783"
"target-standard-premium-master/src/target/c_common-ab-testing-pitfalls.xml","38462d23-617d-4d74-9db9-8012cf7e8b95"
"target-standard-premium-master/src/target/automated_traffic_allocation.xml","bb762cca-e3bf-415a-9b81-a4f155e4dc90"
"target-standard-premium-master/src/target/c_determine-winner.xml","49a2f464-2f8d-403d-9312-6b902af03a3a"
"target-standard-premium-master/src/target/c_auto-target-to-optimize.xml","2e5e4b83-a52e-4a4f-ba65-014ba9bc24ef"
"target-standard-premium-master/src/target/t_automated_personalization.xml","690d18e0-775e-4bc8-bdab-2b52873c4ca9"
"target-standard-premium-master/src/target/c_algo_random_forest.xml","af03c6ef-5d45-4b4e-92d6-432977786b27"
"target-standard-premium-master/src/target/t_create_ap_activity.xml","4094935d-0389-43ce-94b3-19351f9c9526"
"target-standard-premium-master/src/target/c_uploading-data-for-target's-personalization-algorithms.xml","19bcedfb-0890-443c-be0b-e69751d3acc6"
"target-standard-premium-master/src/target/r_ap_data.xml","695ca6b5-cdfc-45fe-8458-8eb68b33a242"
"target-standard-premium-master/src/target/t_ap_traffic_estimator.xml","c1b63746-e615-43b0-90fa-789bddc987a8"
"target-standard-premium-master/src/target/t_ap_preview_experiences.xml","40ef9477-7499-4f30-aea9-d04149b7881e"
"target-standard-premium-master/src/target/t_ap_target_offers.xml","58ad6166-04d9-405b-b26a-c3816657a223"
"target-standard-premium-master/src/target/c_managing-exclusions.xml","53e1e4e6-1540-44fb-88a4-5848a808230c"
"target-standard-premium-master/src/target/c_automated_personalization-faq.xml","45c0f22c-aeda-40a6-9c93-29a726aa2bf0"
"target-standard-premium-master/src/target/t_experience_preview.xml","3529b7f2-5631-4562-8aa0-f54c2913852b"
"target-standard-premium-master/src/target/r_ap-trouble.xml","b1fc52bf-68aa-42fc-86c4-7ef460746f67"
"target-standard-premium-master/src/target/t_experience_target.xml","7a512fc8-cb78-4334-8022-04d9055a186e"
"target-standard-premium-master/src/target/t_xt_create.xml","22306f5f-02a9-40f6-a547-24b90289c77b"
"target-standard-premium-master/src/target/c_xt_activity_url.xml","fe3a2965-d1cf-45d6-ac5e-c6f93170db90"
"target-standard-premium-master/src/target/t_xt_add_experience.xml","7f28428d-5741-49ea-ad9d-11d2501f3e99"
"target-standard-premium-master/src/target/c_xt-switching-experiences.xml","f21e5bd0-7f75-428a-93ca-6f057f8ee8e7"
"target-standard-premium-master/src/target/r_xt_goals_and_settings.xml","fc1443c7-f9b3-450e-a5a1-75678d54cb1e"
"target-standard-premium-master/src/target/t_xt_set_metrics.xml","a5b8ace9-3672-48e8-95ee-1cdeb8b2bc89"
"target-standard-premium-master/src/mvt/c_multivariate_testing.xml","a78af6c8-29f9-49f6-9365-5910761e949f"
"target-standard-premium-master/src/mvt/r_best_practices.xml","320e67e2-9654-4ae0-8e25-ff977af68f2e"
"target-standard-premium-master/src/mvt/c_plan_mvt.xml","8e5faf99-32cb-4a26-91ce-7ae418e3ae23"
"target-standard-premium-master/src/mvt/t_create_multivariate_test.xml","2fd53c3f-0a70-4da0-893a-4c1858c1d8d0"
"target-standard-premium-master/src/mvt/c_url.xml","d1945cba-3dad-4c46-a257-016fe2b82504"
"target-standard-premium-master/src/mvt/c_add_offers.xml","9953a077-42b9-43a7-97fd-54466e42a2a3"
"target-standard-premium-master/src/mvt/t_preview_experiences.xml","57e8c084-a2d1-48ff-ab1e-6bd47c32313a"
"target-standard-premium-master/src/mvt/t_traffic_estimator.xml","8552ee5f-767a-47f6-9f98-930497e6a2c2"
"target-standard-premium-master/src/mvt/r_test_summary.xml","928e9ffb-a248-4d26-8770-c0850ec9b2c2"
"target-standard-premium-master/src/mvt/r_goals_and_settings.xml","71474f39-1044-4e13-8100-670e0ce627c9"
"target-standard-premium-master/src/mvt/t_mvt_set_metrics.xml","b35d5757-4183-453a-a8ab-f7990ca1a57c"
"target-standard-premium-master/src/mvt/r_troubleshooting.xml","eb42f3b9-ddc0-430e-95a7-f6f1e88d4cab"
"target-standard-premium-master/src/recs/c_recommendations-activity.xml","aee2bf40-7c70-4a54-9914-531a916b45d9"
"target-standard-premium-master/src/target/c_edit-activity.xml","8418a787-6892-41ec-aa16-8bae56078dd2"
"target-standard-premium-master/src/target/c_priority.xml","3c5bc10a-22e9-4ba9-80d0-d79be8499d6a"
"target-standard-premium-master/src/target/t_activity_settings.xml","32d1035e-0384-4d8f-89b9-f1b900b4f7ef"
"target-standard-premium-master/src/target/r_success_metrics.xml","b3139d79-0a51-4a4c-bfd8-a60c8f12dbf6"
"target-standard-premium-master/src/target/t_click_tracking.xml","985367e8-c216-4ee6-837a-953605fd46b8"
"target-standard-premium-master/src/target/c_capture-score.xml","d8798519-b9fa-4280-ad72-4a7f4a0a1eb7"
"target-standard-premium-master/src/target/t_change_log.xml","cac7655e-cb61-4c83-912b-e4d8e79db98c"
"target-standard-premium-master/src/target/c_troubleshooting-activities.xml","4340e472-d0e7-4590-820f-b65a5812b865"
"target-standard-premium-master/src/target/c_content_trouble.xml","3f25f18d-1ea7-4ce3-a538-4c2a2e041e66"
"target-standard-premium-master/src/target/c_activity-qa.xml","0f1c5cef-6a9c-464a-ac72-ef5b13ccedba"
"target-standard-premium-master/src/target/c_activity-qa-bookmark.xml","50fe3942-2a2c-418e-b4e2-ef5c4e88f8eb"
"target-standard-premium-master/src/target/c_use-qa-mode-with-server-side-delivery.xml","d561f1cd-a872-46f1-8ac4-e155bf8bd29d"
"target-standard-premium-master/src/target/c_notifications.xml","2f0470d5-4379-4b09-a02d-b118f670dcba"
"target-standard-premium-master/src/target/c_target.xml","cd138b13-7abb-4d9f-9df6-15b22c679994"
"target-standard-premium-master/src/target/c_target_how_target_works.xml","abe7ffd6-bbdf-4ac7-8536-0f4f04f121d6"
"target-standard-premium-master/src/target/c_audiences.xml","38b2bd84-da57-4b25-a39c-9e9319cd0540"
"target-standard-premium-master/src/target/t_create-audience.xml","3ea15f74-087c-4563-a219-e824f7b3e81c"
"target-standard-premium-master/src/target/c_creating-a-profile-attribute-comparison-audience.xml","da83dd6f-232e-4e6b-8ac3-008ceafda4e1"
"target-standard-premium-master/src/target/creating-activity-only-audience.xml","30e926c2-fafa-4d25-ba01-0b2f7af4a34c"
"target-standard-premium-master/src/target/c_combining-multiple-audiences.xml","e8168673-0c47-431a-8027-6571a09e069c"
"target-standard-premium-master/src/target/c_target_rules.xml","cbd81b3c-ce5e-427f-a79e-7025c9536b97"
"target-standard-premium-master/src/target/c_browser.xml","0762c09a-2fe3-4310-a800-e426dacfea8b"
"target-standard-premium-master/src/target/c_custom_parameters.xml","813d9605-a5fd-426e-9eff-ecf2ad7b21cc"
